date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2023-01-09,15.61411952972412,504231000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-10,15.89487075805664,384101000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-11,15.98678970336914,353285000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-12,16.496335983276367,551409000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-13,16.883989334106445,447287000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-17,17.686279296875,511102000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-18,17.361568450927734,439624000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-19,16.75010871887207,452932000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-20,17.82316017150879,564967000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-23,19.175952911376953,655163000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-24,19.247886657714844,496204000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-25,19.30584144592285,449537000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-26,19.78441047668457,489535000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-27,20.34691619873047,542142000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-30,19.144983291625977,488611000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-01-31,19.5196533203125,498017000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-01,20.924402236938477,660477000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-02,21.68972396850586,564276000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-03,21.081262588500977,429366000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-06,21.070274353027344,452197000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-07,22.15330696105957,664150000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-08,22.185277938842773,559651000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-09,22.317161560058594,523876000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-10,21.246110916137695,550737000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-13,21.76865005493164,474919000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-14,22.95060157775879,675474000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-15,22.743783950805664,420575000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-16,21.982460021972656,412026000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-17,21.36900329589844,465888000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-21,20.636653900146484,410015000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-22,20.73556900024414,513184000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-23,23.64298439025879,1117995000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-24,23.265317916870117,589716000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-27,23.480127334594727,452994000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-02-28,23.19538116455078,455963000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
2023-03-01,22.67784118652344,460026000,24870000000.0,3808000000.0,12031000000.0,3389000000.0,NVDA
